Species name,present in the Danube catchment,reported in JDS4,JDS 4 Species name,Author,Comments
Leuciscus aspius,x,x,Aspius aspius,"(Linnaeus, 1758)",
Leuciscus idus,x,x,Leuciscus idus ,"(Linnaeus, 1758)",
Leuciscus leuciscus,x,x,Leuciscus leuciscus,"(Linnaeus, 1758)",
Lota lota,x,x,Lota lota ,"(Linnaeus, 1758)",
Micropterus dolomieu,x,,Micropterus dolomieu,"(Lacepède, 1802)",
Micropterus salmoides,x,,Micropterus salmoides,"(Lacepède, 1802)",
Misgurnus mohoity,x,,Misgurnus bipartitus,"(Sauvage et Dabry de Thiersant, 1874)",
Misgurnus fossilis,x,x,Misgurnus fossilis,"(Linnaeus, 1758)",
Morone saxatilis,x,,,,
Morone chrysops,x,,,,
Mugil cephalus,x,,Mugil cephalus ,"(Linnaeus, 1758)",
Mylopharyngodon piceus,x,,Mylopharyngodon piceus,"(Richardson, 1846)",
Neogobius fluviatilis,x,x,Neogobius fluviatilis,"(Pallas, 1814)",
Neogobius melanostomus,x,x,Neogobius melanostomus,"(Pallas, 1814)",
Oncorhynchus mykiss,x,x,Oncorhynchus mykiss,"(Walbaum, 1792)",
Oncorhynchus kisutch,x,,Oncorhynchus kisutch,"(Walbaum, 1792)",
Paramisgurnus dabryanus,x,,Paramisgurnus dabryanus,"(Dabry de Thiersant, 1872)","Occurrence in the Bavarian Danube Catchment, not the Danube itself"
Pelecus cultratus,x,x,Pelecus cultratus,"(Linnaeus, 1758)",
Perca fluviatilis,x,x,Perca fluviatilis,"(Linnaeus, 1758)",
Percarina demidoffii,x,,Percarina demidoffi,"(Nordmann, 1840)",
Perccottus glenii,x,x,Perccottus glenii,"(Dybowski, 1877)",
Petroleuciscus borysthenicus,x,,Leuciscus borysthenicus,"(Kessler, 1859) ",
Phoxinus phoxinus,x,x,Phoxinus phoxinus,"(Linnaeus, 1758)",
Platichthys flesus,x,,Platichthys flesus,"(Linnaeus, 1758)",
Polyodon spathula,x,,Polyodon spathula,"(Walbaum, 1792)",
Ponticola eurycephalus,x,x,Neogobius eurycephalus,"(Kessler, 1874)",
Ponticola kessleri,x,x,Neogobius kessleri,"(Gunther, 1861)",
Ponticola syrman,x,,Neogobius syrman ,"(Nordmann, 1840)",
Proterorhinus marmoratus,x,,Proterorhinus marmoratus ,"(Pallas, 1814)",
Proterorhinus semilunaris,x,x,Proterorhinus semilunaris,"(Heckel, 1837)",
Pseudorasbora parva,x,x,Pseudorasbora parva,"(Temminck et Schlegel, 1842)",
Pungitius platygaster,x,,Pungitius platygaster ,"(Kessler, 1859) ",
Pungitius pungitius,x,,Pungitius pungitius,"(Linnaeus, 1758)",
Rhodeus amarus,x,x,Rhodeus amarus,"(Bloch, 1782)",Check difference for R. sericeus
Rhodeus sericeus,,,Rhodeus sericeus,"(Pallas, 1776)",Check difference for R. amarus
Romanogobio albipinnatus,,,Gobio albipinnatus ,"(Lukasch, 1933)",
Romanogobio carpathorossicus,x,,,"(Vladykov, 1925)",Danube basin level
Romanogobio kesslerii,x,,Gobio kesslerii,"(Dybowski, 1862)",
Romanogobio kesslerii,x,x,Romanogobio kesslerii,"(Dybowski, 1862)",
Romanogobio skywalkeri,x,,,"(Friedrich et al., 2018)",Danube basin level
Romanogobio uranoscopus,x,,Gobio uranoscopus,"(Agassiz, 1828)",
Romanogobio vladykovi,x,x,Romanogobio vladykovi,"(Fang, 1943)",
Rutilus meidingeri,x,,Rutilus meidingeri,"(Heckel, 1851)",
Rutilus pigus,,x,Rutilus pigus,"(La Cepéde, 1803)",
Rutilus rutilus,x,x,Rutilus rutilus,"(Linnaeus, 1758)",
Rutilus virgo,x,,Rutilus virgo,"(Heckel, 1852)",
Sabanejewia balcanica,x,x,Sabanejewia balcanica,"(Karaman, 1922)",
Sabanejewia bulgarica,x,x,Sabanejewia bulgarica,"(Drensky, 1928)",
Salmo marmoratus,x,,Salmo marmoratus,"(Cuvier, 1829)",
Salmo salar,x,,Salmo salar,"(Linnaeus, 1758)",
Salmo trutta,x,x,Salmo trutta m. fario,"(Linnaeus, 1758)",
Salvelinus alpinus,x,,Salvelinus alpinus,"(Linnaeus, 1758)",
Salvelinus evasus,x,,Salvelinus evasus,"(Freyhof et Kottelat, 2005)","Occurrence in the Bavarian Danube Catchment, not the Danube itself"
Salvelinus fontinalis,x,,Salvelinus fontinalis ,"(Mitchill, 1814)",
Salvelinus namaycush,x,,Salvelinus namaycush,"(Walbaum, 1792)",
Salvelinus umbla,x,,Salvelinus umbla,"(Linnaeus, 1758)",
Sander lucioperca,x,x,Sander lucioperca,"(Linnaeus, 1758)",
Sander volgensis,x,x,Sander volgensis,"(Gmelin, 1788)",
Scardinius erythrophthalmus,x,x,Scardinius erythrophthalmus,"(Linnaeus, 1758)",
Silurus glanis,x,x,Silurus glanis,"(Linnaeus, 1758)",
Squalius cephalus,x,x,Leuciscus cephalus ,"(Linnaeus, 1758)",
Syngnathus abaster,x,x,Syngnathus abaster,"(Risso, 1859)",
Tachysurus sinensis,x,,Tachysurus sinensis,"(Lacepède, 1803)",
Telestes souffia,x,,Telestes souffia,"(Risso, 1827)",
Thymallus thymallus,x,x,Thymallus thymallus,"(Linnaeus, 1758)",
Tinca tinca,x,x,Tinca tinca,"(Linnaeus, 1758)",
Umbra krameri,x,,Umbra krameri,"(Walbaum, 1792)",
Vimba elongata,x,,Vimba elongata,"(Valenciennes, 1844)",
Vimba vimba,x,x,Vimba vimba,"(Linnaeus, 1758)",
Zingel streber,x,x,Zingel streber,"(Siebold, 1863)",
Zingel zingel,x,x,Zingel zingel,"(Linnaeus, 1766)",
,,,Sabanejewia sp.,,
